Step,Action,CPU,Swap,Load,RAM,IOwait,Latency,Reward
16,4,0.7737461924552917,0.0,0.4712114632129669,0.475938081741333,0.008131036534905434,0.23617644608020782,0.9342585206031799
17,4,0.7780820727348328,0.0,0.4898128807544708,0.475199431180954,0.0,0.2057623416185379,0.9359991550445557
18,4,0.8313115239143372,0.0,0.4713314473628998,0.48925676941871643,0.0,0.18125858902931213,0.9224807024002075
19,4,0.8335033655166626,0.0004055559984408319,0.4602002799510956,0.4741472601890564,0.0,0.17933671176433563,0.921974778175354
20,4,0.8205268979072571,0.0036082640290260315,0.4402410686016083,0.49279460310935974,0.0,0.16066820919513702,0.9274142980575562
21,4,0.8162946701049805,0.01545761339366436,0.4334246516227722,0.4490469992160797,0.00775546208024025,0.16412639617919922,0.9271532297134399
22,4,0.7992404103279114,0.06750024110078812,0.40433359146118164,0.49169063568115234,0.0032464368268847466,0.15449309349060059,0.9280285239219666
23,4,0.797038733959198,0.0,0.43579187989234924,0.513716995716095,0.025321735069155693,0.17601297795772552,0.9332870841026306
24,4,0.7888371348381042,0.0,0.461264967918396,0.518251895904541,0.05327323079109192,0.1800936609506607,0.9346848726272583
25,4,0.7867259979248047,0.0,0.4704202115535736,0.5414087176322937,0.06784822046756744,0.18801045417785645,0.9316115379333496
26,4,0.776073157787323,0.01461196318268776,0.49657249450683594,0.5649346113204956,0.08009452372789383,0.18245618045330048,0.9314523339271545
27,4,0.8074646592140198,0.016477063298225403,0.5284908413887024,0.5167021751403809,0.09379617869853973,0.205033078789711,0.9140012860298157
28,4,0.7948192358016968,0.042055223137140274,0.532431423664093,0.5304188132286072,0.09846290200948715,0.2001895159482956,0.9143940210342407
29,4,0.7917869687080383,0.032928913831710815,0.5516647100448608,0.5366497039794922,0.09396833926439285,0.20617413520812988,0.9145934581756592
30,4,0.8077390193939209,0.0020872345194220543,0.5786848068237305,0.5147736668586731,0.08812806755304337,0.22277690470218658,0.9096977710723877
31,2,0.8413814902305603,0.0,0.5922263860702515,0.5314012169837952,0.057880058884620667,0.21374697983264923,0.9054121971130371
32,4,0.8348038196563721,0.0,0.6057750582695007,0.5370739698410034,0.04652818664908409,0.2115248292684555,0.9078288674354553
33,4,0.8353112936019897,0.007874100469052792,0.6226385235786438,0.5648214221000671,0.0,0.20254762470722198,0.9061005711555481
34,4,0.8289538621902466,0.001744961249642074,0.6420426964759827,0.5832008123397827,0.015924250707030296,0.22064147889614105,0.9048709273338318
35,4,0.8311635255813599,0.0,0.6652473211288452,0.5563346147537231,0.029374051839113235,0.24107959866523743,0.9000182747840881
36,2,0.8691913485527039,0.0,0.6898916363716125,0.5610604286193848,0.023813173174858093,0.2394070029258728,0.88631272315979
37,2,0.8382988572120667,0.0,0.7022879123687744,0.5481271743774414,0.0,0.23864245414733887,0.8944172859191895
38,2,0.8053221702575684,0.0,0.7337104082107544,0.5523740649223328,0.0,0.26164811849594116,0.8988674879074097
39,2,0.7856900691986084,0.0,0.7282960414886475,0.5269492268562317,0.0,0.259011447429657,0.9055622220039368
40,2,0.7949464321136475,0.0,0.7182985544204712,0.5471304059028625,0.0,0.25301888585090637,0.9043843150138855
41,2,0.8044620156288147,0.011633092537522316,0.7340338230133057,0.5372180342674255,0.01642446033656597,0.2565964162349701,0.8984350562095642
42,2,0.7617669701576233,0.008752673864364624,0.7535214424133301,0.5306475162506104,0.018717259168624878,0.23985037207603455,0.9112574458122253
43,2,0.7707064151763916,0.0,0.7226921916007996,0.5371102690696716,0.0,0.20305876433849335,0.9162129759788513
44,2,0.78106689453125,0.0,0.7009469866752625,0.5487644672393799,0.0,0.20520935952663422,0.91506427526474
45,4,0.7966558337211609,0.04413425922393799,0.6755778789520264,0.5517659187316895,0.011152765713632107,0.20198430120944977,0.9088336229324341
